id,customer_id,merchant_id,status,created_at,updated_at
58,11,12336225,shipped,2005-12-08,2007-02-05
59,11,12335018,shipped,2001-11-05,2008-01-10
60,11,12336257,shipped,2005-03-13,2007-12-25
61,11,12334364,shipped,2011-11-19,2014-12-23
62,12,12334353,returned,2011-01-15,2012-04-24
63,12,12335558,shipped,2015-07-15,2016-01-19
64,12,12334397,returned,2011-04-19,2013-03-18
65,12,12334382,shipped,2012-01-08,2012-07-17
66,12,12335105,shipped,2002-11-02,2002-12-02
67,12,12336556,shipped,2003-09-29,2005-06-14
68,13,12335598,shipped,2008-12-17,2012-08-02
69,13,12335591,shipped,2014-06-24,2015-09-27
70,13,12334771,shipped,2000-05-28,2015-10-04
71,13,12336292,shipped,2002-03-25,2014-07-05
72,13,12334553,shipped,2004-03-01,2016-01-22
73,13,12336819,pending,2010-02-13,2011-04-17
74,14,12334105,returned,2005-01-03,2005-04-20
75,14,12334160,shipped,2002-07-09,2009-07-28
76,14,12335776,shipped,2003-12-19,2009-08-14
77,14,12336289,shipped,2002-06-02,2003-10-26
78,14,12335335,pending,2001-04-04,2005-07-18
79,15,12335319,pending,2006-07-02,2015-08-17
80,15,12336114,pending,2011-03-11,2011-09-13
81,16,12334353,shipped,2000-10-27,2008-10-01
82,16,12335024,shipped,2013-09-11,2015-08-24
83,16,12336536,shipped,2007-03-09,2013-02-05
84,16,12334578,shipped,2016-01-11,2016-02-28
85,16,12335975,shipped,2005-11-02,2008-09-20
86,16,12335941,pending,2011-03-14,2015-02-14
87,16,12336739,pending,2015-06-09,2016-01-29
88,17,12334713,returned,2014-05-17,2016-02-04
89,17,12334986,shipped,2014-08-04,2015-04-03
90,17,12334403,returned,2010-10-28,2012-01-10
91,18,12336652,shipped,2010-12-21,2013-03-13
92,18,12336484,shipped,2016-01-04,2016-01-26
93,18,12334857,shipped,2013-07-10,2013-08-13
94,19,12335204,shipped,2007-04-12,2015-01-06
95,19,12335660,shipped,2007-07-09,2015-05-30
96,21,12336867,pending,2014-12-04,2015-11-15
97,21,12334155,pending,2007-01-05,2007-11-26
98,21,12335165,shipped,2014-01-11,2015-11-13
99,21,12335778,pending,2000-10-15,2012-11-22
100,21,12334266,shipped,2002-02-05,2008-05-10
101,22,12334343,shipped,2002-07-20,2008-12-22
102,22,12335345,shipped,2013-05-27,2014-03-11
103,22,12337409,pending,2001-06-03,2010-08-12
104,22,12335055,pending,2003-02-12,2015-05-05
105,22,12335040,returned,2011-02-15,2011-02-21
106,22,12334389,shipped,2015-05-07,2015-12-29
107,22,12334220,pending,2007-08-18,2009-05-06
108,22,12337105,shipped,2009-11-26,2014-01-11
109,22,12335329,pending,2009-08-16,2013-08-04
110,22,12335105,pending,2011-08-26,2015-10-10
111,23,12335545,returned,2013-10-28,2015-03-03
112,23,12335677,pending,2006-05-05,2014-03-08
113,23,12336748,pending,2004-06-29,2012-02-15
114,23,12335860,pending,2000-01-30,2000-11-15
115,23,12335955,returned,2003-06-20,2009-05-25
116,24,12336299,pending,2003-07-12,2012-08-30
117,24,12334488,shipped,2006-05-09,2010-07-31
118,24,12336079,shipped,2004-03-12,2005-08-24
119,24,12334633,returned,2006-01-10,2009-08-17
120,24,12334541,shipped,2001-09-29,2008-12-27
121,24,12336867,shipped,2015-02-16,2015-06-29
122,24,12335916,shipped,2012-09-04,2015-11-02
123,25,12335480,shipped,2012-04-22,2014-12-25
124,25,12335018,pending,2015-12-16,2016-02-16
125,25,12334303,pending,2012-08-20,2015-09-12
126,25,12334807,shipped,2014-09-21,2015-06-19
127,26,12335527,pending,2010-06-01,2012-01-29
128,26,12335963,shipped,2015-08-09,2015-12-03
129,26,12334903,shipped,2006-12-07,2013-12-28
130,26,12334846,shipped,2005-08-06,2014-09-13
131,26,12335115,shipped,2003-08-28,2008-02-27
132,26,12336445,pending,2014-04-03,2015-06-26
133,26,12336469,pending,2002-07-05,2011-10-31
134,26,12336392,shipped,2009-06-02,2013-07-22
135,26,12337163,shipped,2012-12-21,2015-06-21
136,27,12334688,pending,2009-01-05,2010-01-01
137,28,12334788,returned,2006-05-04,2008-03-19
138,28,12336445,returned,2015-11-01,2015-11-07
139,28,12334105,pending,2015-08-21,2015-11-27
140,28,12335115,pending,2012-02-01,2014-09-22
141,29,12334662,shipped,2015-11-03,2016-01-23
142,29,12335440,shipped,2007-02-19,2009-06-17
143,29,12335938,shipped,2005-11-22,2011-10-30
144,29,12335857,shipped,2004-07-29,2013-01-07
145,29,12337105,shipped,2005-07-03,2010-06-11
146,29,12335544,returned,2001-05-30,2001-06-16
147,29,12336801,shipped,2000-07-07,2011-11-29
148,29,12335297,pending,2005-09-23,2009-02-13
149,29,12335747,returned,2015-03-03,2016-01-17
150,29,12335196,shipped,2002-01-08,2003-09-26
151,30,12335856,pending,2012-03-20,2013-08-13
152,30,12334434,pending,2009-12-20,2015-07-05
153,30,12334202,shipped,2003-06-29,2005-11-04
155,30,12334176,shipped,2004-06-17,2014-04-23
504,96,12334176,pending,2014-05-03,2015-08-08
629,121,12334176,pending,2008-06-07,2014-11-22
666,128,12334176,pending,2000-12-05,2005-03-17
761,146,12334176,shipped,2000-12-14,2010-06-12
805,154,12336167,shipped,2002-04-05,2014-03-09
806,154,12336148,shipped,2011-04-09,2015-10-31
807,155,12335009,shipped,2000-07-14,2002-01-12
808,155,12337191,pending,2003-11-08,2008-10-27
809,155,12335690,shipped,2005-04-13,2005-10-24
810,155,12335402,shipped,2013-08-03,2014-08-06
811,155,12334261,pending,2009-12-24,2016-01-24
812,155,12335458,shipped,2000-12-25,2013-01-02
813,155,12334788,shipped,2012-01-24,2012-04-29
814,155,12334400,shipped,2004-04-19,2004-07-13
815,155,12336326,shipped,2001-11-13,2010-02-03
816,157,12334814,returned,2003-04-09,2015-04-05
817,157,12335951,shipped,2011-09-28,2012-12-01
818,157,12334443,shipped,2015-12-16,2016-02-07
819,157,12334141,shipped,2000-01-14,2001-04-03
820,157,12334838,shipped,2005-08-12,2014-09-28
821,157,12334499,shipped,2000-04-05,2006-03-05
822,157,12334228,returned,2009-01-24,2015-07-16
823,158,12336163,shipped,2005-11-19,2010-09-11
824,158,12334220,pending,2015-10-09,2015-10-22
825,158,12335165,pending,2009-12-19,2011-09-06
826,158,12335731,pending,2005-08-11,2008-11-12
827,158,12334471,pending,2010-05-03,2010-06-11
828,158,12335524,returned,2011-12-09,2015-03-18
829,159,12334832,pending,2005-06-20,2007-11-29
830,159,12335717,shipped,2004-08-09,2011-06-21
831,159,12335383,returned,2008-10-07,2013-04-13
832,159,12334807,pending,2008-04-20,2014-08-09
833,159,12336073,shipped,2014-03-19,2014-04-27
834,159,12336430,returned,2003-02-20,2006-05-30
835,159,12335417,shipped,2006-04-12,2013-01-03
836,159,12336430,shipped,2012-08-27,2015-05-17
837,159,12334556,shipped,2011-03-09,2015-11-27
838,160,12334672,shipped,2010-04-06,2015-01-13
839,160,12334135,shipped,2007-06-21,2015-12-26
840,161,12334284,returned,2003-05-13,2004-08-19
841,161,12334912,shipped,2009-09-10,2016-01-06
842,161,12335533,shipped,2008-11-30,2010-06-22
843,161,12334364,pending,2007-03-29,2008-12-19
844,161,12334284,pending,2004-10-06,2012-02-01
845,161,12336730,shipped,2002-09-01,2005-12-09
846,161,12335165,shipped,2009-12-26,2010-11-23
847,161,12335213,returned,2000-03-31,2001-07-11
848,162,12335493,pending,2014-01-18,2015-08-13
849,162,12334189,shipped,2013-05-02,2014-06-30
850,162,12334478,returned,2007-08-17,2011-07-30
851,162,12336364,shipped,2004-03-08,2008-11-21
852,162,12336389,shipped,2002-03-13,2012-07-08
853,162,12334687,shipped,2002-10-24,2012-06-10
854,162,12335024,returned,2004-06-12,2014-07-26
855,163,12335319,shipped,2007-04-09,2014-11-26
856,163,12334236,shipped,2013-01-19,2014-04-30
857,164,12335941,pending,2011-02-18,2015-08-15
858,164,12336837,pending,2015-10-23,2016-01-22
859,164,12334277,shipped,2002-10-10,2004-11-13
860,164,12336421,shipped,2012-08-15,2013-08-12
861,164,12335825,pending,2011-01-23,2016-02-01
862,164,12334614,pending,2009-02-10,2015-09-05
863,165,12335942,pending,2004-03-16,2008-01-12
864,166,12336113,shipped,2007-06-26,2014-01-22
865,166,12336248,pending,2007-11-10,2010-10-28
866,167,12335961,shipped,2011-04-07,2012-12-26
867,167,12335458,pending,2005-03-12,2009-01-30
868,167,12334315,shipped,2013-09-01,2014-10-28
869,167,12335314,pending,2014-09-08,2015-07-24
870,167,12335519,shipped,2007-09-24,2013-11-07
871,167,12335150,shipped,2006-05-05,2010-10-09
872,167,12334146,pending,2007-02-08,2008-11-13
873,168,12335951,pending,2007-01-25,2007-11-12
874,168,12337339,returned,2009-12-19,2010-04-05
875,168,12335246,shipped,2010-07-13,2014-01-12
876,168,12334326,shipped,2013-04-18,2014-07-24
877,168,12335955,shipped,2010-05-09,2013-07-04
878,168,12337209,shipped,2014-11-04,2015-07-19
879,168,12335149,shipped,2007-06-13,2012-07-31
880,169,12334867,shipped,2009-06-29,2011-10-19
881,169,12335351,shipped,2001-11-02,2016-02-12
882,170,12334850,shipped,2013-11-28,2015-03-04
883,170,12335383,shipped,2011-09-01,2015-09-06
884,170,12334365,shipped,2013-09-16,2014-01-04
885,170,12335487,shipped,2011-06-06,2013-06-13
886,170,12334538,pending,2009-12-25,2013-05-07
887,170,12335426,shipped,2007-06-12,2013-10-04
888,170,12334460,pending,2013-12-10,2015-07-03
889,170,12335821,returned,2005-07-09,2008-03-16
890,170,12336617,shipped,2006-11-09,2008-07-31
891,170,12334207,shipped,2007-07-19,2008-07-29
892,171,12335405,returned,2010-07-10,2014-06-05
893,171,12334768,shipped,2000-01-28,2007-10-17
894,171,12335527,shipped,2008-11-22,2009-12-18
895,171,12335070,shipped,2008-02-20,2015-11-10
896,171,12334541,shipped,2003-06-19,2005-05-05
897,171,12334857,shipped,2013-02-14,2014-03-15
898,171,12336143,shipped,2001-04-13,2010-07-21
899,171,12335319,shipped,2006-04-28,2009-10-01
900,171,12334633,pending,2006-04-25,2015-08-11
901,171,12336066,shipped,2015-06-29,2015-12-27
902,172,12337011,shipped,2003-11-13,2013-09-05
903,172,12336529,shipped,2003-03-16,2004-01-24
904,172,12334160,shipped,2009-09-12,2011-04-08
905,172,12334894,pending,2000-12-17,2012-08-01
906,172,12335731,shipped,2003-07-15,2008-07-16
907,172,12334499,shipped,2005-06-06,2013-06-27
908,172,12336121,shipped,2010-01-11,2010-03-05
909,172,12334343,returned,2008-01-05,2012-06-11
910,173,12335471,pending,2000-05-11,2003-06-23
911,173,12335927,shipped,2007-12-26,2014-07-05
912,173,12334423,shipped,2013-03-07,2015-01-21
913,173,12335105,shipped,2002-07-28,2011-08-28
914,173,12334326,pending,2007-10-19,2015-12-23
915,174,12335533,shipped,2013-02-09,2016-01-24
916,176,12334742,pending,2000-03-02,2006-04-26
917,176,12334281,shipped,2012-08-05,2014-02-18
918,176,12334302,pending,2003-09-05,2015-02-12
919,176,12336098,pending,2015-04-03,2015-08-10
920,177,12334220,shipped,2005-06-22,2014-11-19
921,177,12334873,returned,2009-12-03,2013-08-31
922,177,12334873,shipped,2003-03-05,2014-07-06
923,177,12336310,returned,2005-05-02,2011-01-03
924,178,12335947,shipped,2000-11-16,2012-02-11
925,178,12334857,shipped,2000-11-15,2012-04-30
926,179,12335971,shipped,2009-12-18,2014-11-24
927,179,12335028,pending,2001-01-08,2001-08-14
928,179,12334365,shipped,2011-01-03,2011-02-07
929,179,12335557,shipped,2000-12-04,2002-07-20
930,179,12335409,pending,2014-11-19,2015-06-22
931,180,12334867,pending,2005-11-19,2011-02-18
932,180,12334319,shipped,2010-03-22,2012-12-09
933,180,12334842,shipped,2007-03-04,2007-11-03
934,180,12335215,shipped,2001-11-05,2004-08-12
935,180,12334174,returned,2014-11-28,2015-02-02
936,181,12335021,shipped,2013-08-14,2013-11-12
937,181,12336867,pending,2000-07-20,2004-03-03
938,181,12337171,shipped,2003-12-29,2008-11-27
939,181,12334389,shipped,2003-07-29,2004-04-26
940,181,12334592,pending,2007-03-05,2008-12-14
941,181,12334146,returned,2007-03-02,2013-08-10
942,181,12336983,pending,2003-08-01,2014-07-26
943,182,12336965,shipped,2007-03-09,2011-05-04
944,182,12334771,shipped,2001-10-30,2012-07-21
945,182,12334873,returned,2006-05-05,2011-04-13
946,182,12334810,pending,2012-02-09,2013-12-11
947,182,12335716,shipped,2000-08-22,2013-01-15
948,182,12336545,shipped,2005-04-26,2006-03-08
949,182,12334115,shipped,2004-08-28,2011-07-05
950,183,12334971,shipped,2001-10-30,2003-02-16
951,183,12335149,pending,2010-08-09,2010-08-13
952,183,12335729,pending,2002-03-01,2003-03-28
953,183,12334850,returned,2009-06-26,2015-06-15
954,184,12335504,shipped,2006-09-26,2011-03-11
955,185,12335524,shipped,2003-05-03,2013-05-01
956,185,12335667,pending,2013-04-04,2015-07-23
957,185,12334382,returned,2008-07-15,2011-02-20
958,186,12334223,pending,2002-12-17,2014-10-26
959,186,12336477,shipped,2003-06-21,2003-09-29
960,186,12335319,shipped,2013-12-09,2015-09-17
961,186,12336753,shipped,2006-05-10,2010-05-05
962,186,12335246,shipped,2011-03-04,2011-06-24
963,186,12334742,pending,2006-10-15,2010-09-25
964,187,12335093,shipped,2004-04-29,2011-04-05
965,187,12334738,shipped,2002-05-18,2008-01-05
966,187,12336331,shipped,2006-04-08,2013-01-19
967,187,12335402,shipped,2002-04-04,2008-08-16
968,187,12335726,shipped,2012-12-05,2015-05-19
969,187,12336851,shipped,2005-03-24,2009-08-01
970,187,12337321,shipped,2000-09-22,2011-06-05
971,187,12336097,pending,2015-12-16,2016-02-25
972,187,12336889,returned,2008-08-04,2015-09-26
973,188,12335731,returned,2002-03-16,2006-09-02
974,188,12336748,pending,2015-05-29,2016-01-26
975,188,12335863,shipped,2002-10-10,2013-01-04
976,188,12336005,shipped,2014-09-09,2015-02-07
977,188,12334951,shipped,2008-07-22,2009-05-12
978,189,12334230,shipped,2008-06-27,2014-05-07
979,189,12335351,shipped,2002-05-30,2015-06-11
980,189,12337163,shipped,2001-03-16,2012-08-28
981,189,12335178,shipped,2010-09-24,2011-09-08
982,189,12335426,shipped,2000-11-14,2007-03-30
983,189,12336098,shipped,2015-07-11,2015-12-23
984,189,12336121,shipped,2006-05-10,2014-07-09
985,191,12336251,shipped,2002-04-10,2005-01-22
986,191,12334315,shipped,2005-12-08,2010-05-01
987,191,12336819,pending,2000-12-22,2010-08-29
988,191,12334838,shipped,2009-08-05,2016-01-05
989,191,12335963,returned,2000-07-03,2011-02-24
990,191,12334900,pending,2003-09-19,2012-06-29
991,192,12335101,shipped,2008-08-03,2008-10-09
992,192,12335918,shipped,2012-04-26,2015-01-19
993,192,12337199,pending,2004-06-29,2005-01-05
994,192,12335860,pending,2014-02-27,2015-12-11
995,192,12334372,returned,2010-12-14,2013-01-06
996,192,12335021,returned,2000-09-02,2011-10-21
997,192,12334941,pending,2011-07-13,2014-06-27
998,192,12336161,shipped,2009-06-19,2012-03-07
999,193,12334713,pending,2010-05-25,2011-04-19
1000,193,12336053,shipped,2000-08-01,2015-08-16
1001,193,12334788,shipped,2011-02-20,2013-07-28
1002,194,12337163,shipped,2013-05-26,2013-06-15
1003,195,12334303,shipped,2002-02-18,2005-04-20
1004,195,12334393,shipped,2000-01-25,2012-07-23
1005,195,12336035,shipped,2008-03-26,2009-10-22
1006,196,12336431,shipped,2006-06-23,2008-12-25
1007,196,12335582,shipped,2006-03-13,2011-08-21
1008,196,12334471,shipped,2005-04-11,2007-02-21
1009,196,12336257,shipped,2011-09-26,2015-03-08
1010,196,12335857,shipped,2010-06-24,2010-08-10
1011,196,12334189,shipped,2009-11-09,2013-10-27
1012,196,12334195,shipped,2008-09-10,2015-05-22
1013,196,12334894,shipped,2013-04-07,2013-12-15
1014,196,12334401,shipped,2011-10-10,2013-11-22
1015,197,12334155,shipped,2009-04-20,2011-04-22
1016,197,12335677,shipped,2008-10-03,2013-10-11
1017,197,12335918,pending,2013-02-25,2015-03-23
1018,197,12336851,returned,2007-08-26,2012-11-18
1019,197,12334395,shipped,2010-12-20,2016-01-2
1914,380,12334176,shipped,2000-03-19,2007-07-27
1956,387,12334176,shipped,2014-11-26,2015-10-13
2154,430,12334176,shipped,2009-07-27,2009-10-16
2167,432,12334176,pending,2000-10-07,2014-09-25
2620,526,12334176,returned,2003-05-06,2010-05-26
2753,553,12334176,shipped,2004-11-29,2012-04-28
3118,619,12334176,pending,2014-07-01,2014-10-07
3144,624,12334176,shipped,2000-01-21,2014-10-25
3475,684,12334176,pending,2002-10-19,2005-10-21
3589,710,12334176,shipped,2015-12-29,2016-02-18
4056,802,12334176,shipped,2006-06-16,2009-07-27
4101,811,12334176,returned,2004-04-12,2007-07-03
4189,829,12334176,pending,2004-11-28,2007-02-07
4211,833,12334176,shipped,2014-05-01,2015-04-23
4741,954,12334176,shipped,2011-02-19,2015-01-21
4849,973,12334176,returned,2009-10-14,2009-11-24
